ID,Tempat Wisata,Tahun,Wisnus,Wisman
583,Pura Beji,2022,3639,3836
584,Pura Beji,2023,9461,12057
585,Pura Beji,2024,6448,17848
586,Pura Dalem Jagaraga,2020,0,0
587,Pura Dalem Jagaraga,2021,185,0
588,Pura Dalem Jagaraga,2022,0,0
589,Pura Dalem Jagaraga,2023,0,0
590,Pura Dalem Jagaraga,2024,0,0
591,Danau Buyan,2020,17900,1395
592,Danau Buyan,2021,6221,0
593,Danau Buyan,2022,8823,0
594,Danau Buyan,2023,16049,30
595,Danau Buyan,2024,78353,0
596,Pelabuhan Buleleng,2020,536,45
597,Pelabuhan Buleleng,2021,10709,0
598,Pelabuhan Buleleng,2022,53235,625
599,Pelabuhan Buleleng,2023,91345,8741
600,Pelabuhan Buleleng,2024,127643,5041
601,Gedong Kertya,2020,442,190
602,Gedong Kertya,2021,0,0
603,Gedong Kertya,2022,0,0
604,Gedong Kertya,2023,0,0
605,Gedong Kertya,2024,0,0
606,Air Terjun Les,2020,587,347
607,Air Terjun Les,2021,0,0
608,Air Terjun Les,2022,637,1294
609,Air Terjun Les,2023,1401,3686
610,Air Terjun Les,2024,0,0
611,Museum Buleleng,2020,371,209
612,Museum Buleleng,2021,34,0
613,Museum Buleleng,2022,883,76
614,Museum Buleleng,2023,705,293
615,Museum Buleleng,2024,746,147
616,D. Tamblingan,2020,2629,2050
617,D. Tamblingan,2021,77,0
618,D. Tamblingan,2022,2828,1122
619,D. Tamblingan,2023,12785,5227
620,D. Tamblingan,2024,15943,9234
621,P. Menjangan,2020,0,0
622,P. Menjangan,2021,216,14
623,P. Menjangan,2022,0,0
624,P. Menjangan,2023,1671,4331
625,P. Menjangan,2024,764,5240
626,Kapal Seabourn Odyssey,2020,0,0
627,Kapal Seabourn Odyssey,2021,0,0
628,Kapal Seabourn Odyssey,2022,0,0
629,Kapal Seabourn Odyssey,2023,2,247
630,Kapal Seabourn Odyssey,2024,0,0
631,Air Terjun Sekumpul,2020,5281,3951
632,Air Terjun Sekumpul,2021,79,189
633,Air Terjun Sekumpul,2022,600,2264
634,Air Terjun Sekumpul,2023,6672,10459
635,Air Terjun Sekumpul,2024,3384,19292
636,Air Terjun Campuhan,2020,691,755
637,Air Terjun Campuhan,2021,0,0
638,Air Terjun Campuhan,2022,0,0
639,Air Terjun Campuhan,2023,0,0
640,Air Terjun Campuhan,2024,0,0
641,Air Terjun Bertingkat,2020,180,103
642,Air Terjun Bertingkat,2021,0,0
643,Air Terjun Bertingkat,2022,0,0
644,Air Terjun Bertingkat,2023,0,0
645,Air Terjun Bertingkat,2024,0,0
646,Genting Dream,2020,0,0
647,Genting Dream,2021,0,0
648,Genting Dream,2022,0,4091
649,Genting Dream,2023,0,0
650,Genting Dream,2024,0,0
651,Pura Jaya Prana ,2020,0,0
652,Pura Jaya Prana ,2021,3209,0
653,Pura Jaya Prana ,2022,0,0
654,Pura Jaya Prana ,2023,32341,196
655,Pura Jaya Prana ,2024,51670,96
656,Tugu Singa Ambara Raja ,2020,0,0
657,Tugu Singa Ambara Raja ,2021,1705,0
658,Tugu Singa Ambara Raja ,2022,3323,0
659,Tugu Singa Ambara Raja ,2023,12487,0
660,Tugu Singa Ambara Raja ,2024,6331,0
661,Brahma Vihara Arama ,2020,0,0
662,Brahma Vihara Arama ,2021,2106,78
663,Brahma Vihara Arama ,2022,4276,23154
664,Brahma Vihara Arama ,2023,6941,56451
665,Brahma Vihara Arama ,2024,10697,70805
666,Air Terjun Melanting ,2020,0,0
667,Air Terjun Melanting ,2021,0,0
